id,danceability,energy,key,loudness,acousticness,valence,tempo,cluster
3kgutGd839IOYRl6ekeq6V,0.699,0.668,1,-5.305,0.265,0.472,83.074,29
3qX1dqmDdmMvvfMVfsx4Bh,0.487,0.729,2,-6.815,0.0538,0.217,91.048,32
4vgTAdLit4VNnxZ7YK06NW,0.564,0.703,2,-5.459,0.437,0.477,139.045,52
6qaGOYPk0tmPmPDIrRiBPM,0.702,0.53,10,-7.094,0.0867,0.681,171.051,55
7ldrMnJtcDSLWtEcJePMMg,0.851,0.664,5,-6.947,0.129,0.756,100.184,28
1Mt7JLzBMXjTVKcdeD437t,0.813,0.676,2,-9.159,0.00842,0.705,94.629,30
5jHilrZDaP1vJMZfdN1He3,0.759,0.782,11,-6.975,0.000589,0.507,131.04,24
53BZ6XygAoubR5DU5w38Vq,0.724,0.853,11,-3.895,0.0164,0.775,170.51,34
4sMTKm8fU6O8O4OZlmGWTr,0.878,0.739,5,-5.157,0.169,0.824,93.601,28
5dANgSy7v091dhiPnEXNrf,0.654,0.77,9,-6.091,0.00342,0.272,137.616,50
2JzZzZUQj3Qff7wapcbKjc,0.689,0.481,10,-7.503,0.369,0.283,80.025,51
2nrSQK3ooS0sOSecOvh5Aq,0.717,0.862,8,-4.736,0.00689,0.52,130.021,9
5jnxxpX2834SB6LJ0S73Uz,0.829,0.428,0,-9.469,0.056,0.45,148.075,43
4oFtLSgHyZPNYDCcANhTnO,0.539,0.731,3,-5.085,0.112,0.568,81.114,54
0NTMtAO2BV4tnGvw9EgBVq,0.781,0.728,1,-4.981,0.0509,0.395,102.99,29
1iklXRwvHxcPliOWLKODth,0.65,0.691,2,-5.01,0.00518,0.0745,123.123,13
7gKgd0P3dAAePiSQQBqrlf,0.82,0.809,4,-6.759,0.443,0.737,83.011,30
0YImOCkIJ2PWhCXaURCZnY,0.648,0.759,6,-4.315,0.0142,0.518,85.996,66
1U8Ho1nOzKXYDvfigOuHG4,0.444,0.866,7,-6.217,0.000622,0.375,94.968,63
0rkzHjL6NnDnRic4qccG12,0.848,0.405,10,-7.615,0.265,0.314,128.019,12
0hdiDzQu1FsfaYM1NIL8ma,0.831,0.783,5,-6.719,0.079,0.771,140.046,3
01Lr5YepbgjXAWR9iOEyH1,0.772,0.413,0,-8.193,0.0361,0.211,131.965,10
5NQbUaeTEOGdD6hHcre0dZ,0.618,0.717,7,-5.738,0.00256,0.603,190.05,21
2npJP0YTkykkqjezhA1g8f,0.762,0.601,9,-5.415,0.0702,0.377,99.95,14
1jk9c0gZI0wbn5GvAj7PBV,0.667,0.581,0,-5.164,0.0428,0.368,110.953,29
27GmP9AWRs744SzKcpJsTZ,0.852,0.553,1,-7.286,0.0559,0.656,142.079,4
3iVcZ5G6tvkXZkZKlMpIUs,0.796,0.766,7,-5.974,0.0742,0.558,110.034,20
2e3Ea0o24lReQFR4FA7yXH,0.677,0.638,8,-8.631,0.589,0.435,82.81,42
68Dni7IE4VyPkTOH9mRWHr,0.69,0.521,10,-8.492,0.324,0.494,100.028,12
4tqcoej1zPvwePZCzuAjJd,0.495,0.722,6,-8.108,0.0697,0.539,175.627,21
0uFvvXbmGIXlf5ZgtHyYpf,0.6,0.592,1,-4.947,0.0191,0.0663,130.205,10
2rJvc7nSYWBKAuNUMx1Cr2,0.656,0.612,6,-5.415,0.0094,0.626,132.072,31
0wdKiSBUT7aZkXUIdJWcwC,0.895,0.681,7,-5.267,0.157,0.554,121.918,20
3SEd8nPd8MpGwk6ZZ8tk2j,0.823,0.768,11,-6.21,0.0146,0.216,115.021,50
72TFWvU3wUYdUuxejTTIzt,0.725,0.534,11,-6.238,0.0752,0.558,91.974,7
2Gyc6e2cLxA5hoX1NOvYnU,0.546,0.529,11,-10.511,0.0862,0.247,107.331,51
024Q1MI4uaYHF6j2Q2ZYgF,0.828,0.792,10,-5.435,0.182,0.777,134.199,69
5n8Aro6j1bEGIy7Tpo7FV7,0.859,0.75,8,-8.325,0.0193,0.857,98.691,28
73JJHEKUuOOsA8MDzOd4vy,0.854,0.401,9,-8.553,0.118,0.42,139.922,12
0Thqjtu54vKMP06pwZkAWp,0.889,0.4,4,-10.586,0.322,0.336,128.073,43
29gsi1zZrZxdStACmTQB0Z,0.709,0.589,8,-7.776,0.0507,0.58,133.922,55
78JKJfKsqgeBDBF58gv1SF,0.646,0.784,1,-7.471,0.0166,0.179,127.839,13
19a3JfW8BQwqHWUMbcqSx8,0.465,0.735,6,-3.715,0.0711,0.409,173.935,48
1DIXPcTDzTj8ZMHt3PDt8p,0.647,0.514,8,-10.05,0.0655,0.386,79.975,7
4pAl7FkDMNBsjykPXo91B3,0.671,0.314,5,-8.091,0.11,0.296,110.898,10
0Z2J91b2iTGLVTZC4fKgxf,0.916,0.844,7,-3.967,0.0394,0.586,95.19,28
1NcSixtkG20Ip6rjQYbcbu,0.671,0.745,4,-4.095,0.00592,0.503,94.261,66
3gY6tiCNsuVi6s8kPV6aQg,0.634,0.845,11,-5.058,0.00602,0.929,94.0,59
5FLctoy4mpCxLJ1QPneTOV,0.957,0.737,2,-4.88,0.21,0.934,107.088,4
0rok38RPhg2SbUZt2JPFP6,0.702,0.803,7,-6.86,0.0724,0.881,166.042,67
5sNESr6pQfIhL3krM8CtZn,0.687,0.793,2,-4.254,0.0603,0.751,107.045,15
7m97yKVzPpXV9Z4ezEziOD,0.88,0.814,11,-6.307,0.168,0.942,138.083,69
3uqinR4FCjLv28bkrTdNX5,0.674,0.695,6,-8.636,0.0387,0.773,151.486,62
5880eYQmXx3c3oD22IljIt,0.683,0.59,1,-5.423,0.326,0.653,100.892,30
2uhnzF1F605tp9QS6rH2VW,0.772,0.599,8,-5.996,0.0277,0.557,92.029,7
2zoobJFEB9h15fjYjRd6oP,0.772,0.644,10,-6.318,0.158,0.388,82.05,7
1veg9HLCMFpatZpibpb9TU,0.831,0.467,3,-9.699,0.475,0.51,100.962,46
7H6ev70Weq6DdpZyyTmUXk,0.713,0.678,5,-3.525,0.273,0.734,138.009,9
2hzKxuc2LwqMnkoVRMkV0B,0.779,0.51,8,-3.629,0.262,0.591,90.025,7
7lVNTXkI3cHFvcXiI8damb,0.66,0.707,6,-5.758,0.397,0.761,89.279,42
2IyL2CyHoenwQLds5jSuqK,0.66,0.623,7,-7.321,0.0851,0.736,179.986,67
2wGSgTmgSF3xjRrHkTc25R,0.802,0.785,9,-4.781,0.14,0.435,99.998,24
7nYvUtkQMx1v80S2FH2s9J,0.849,0.521,11,-12.999,0.304,0.763,95.265,60
0ZHu7jkSSrT0eK4OxuG4O5,0.714,0.862,6,-5.531,0.0305,0.887,92.849,3
4Li2WHPkuyCdtmokzW2007,0.789,0.858,1,-5.542,0.127,0.775,140.022,61
